indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Solicitudes de Autorización de Portación de Armas de Fuego,932019a8-e08a-4269-83e0-aa0b8191c21d,OK,0,20
1,Base Infoleg de Normativa Nacional,d9a963ea-8b1d-4ca3-9dd9-07a4773e8c23,OK,0,3
2,Base SAIJ de Normativa Provincial,d59c2d29-d561-4ad2-a032-cc82b40db2d3,OK,0,1
3,Bienes secuestrados y decomisados durante el proceso penal,0acc4f59-d80b-4e22-90a4-acd978a12119,OK,0,3
4,Centros de Acceso a la Justicia -CAJ-,9775fcdf-99b9-47f6-87ae-6d46cfd15b40,OK,0,1
5,Sistema de Consulta Nacional de Rebeldías y Capturas - Co.Na.R.C.,e042c362-ff39-476f-9328-056a9de753f0,OK,0,1
6,Consultas efectuadas en los Centros de Acceso a la Justicia -CAJ-,bdac15f5-7b47-4d94-ac3f-ebdfcece1c4c,OK,0,2
7,Curriculums Vitae de magistrados para cubrir vacantes en el Poder Judicial y el Ministerio Público,2892f2ad-e1f0-47ba-98bf-14ca693f3750,OK,0,6
8,Declaraciones Juradas Patrimoniales Integrales de carácter público,4680199f-6234-4262-8a2a-8f7993bf784d,OK,0,6
9,Designaciones de magistrados de la Justicia Federal y de la Justicia Nacional,9f397011-5459-4f1c-b88e-9f48f7824e03,OK,0,5
10,Entidades constituidas en la Inspección General de Justicia,da045e06-35cb-4bdd-9b5e-ddee6712c86c,OK,0,60
11,Estadística de trámites de automotores,1ab0cc03-ab9b-4520-975c-5757d87d1061,OK,0,2
12,Estadística de trámites de maquinarias,852b58b1-98b5-4f80-9f80-62e09cf3cfbb,OK,0,2
13,Estadística de trámites de motovehículos,72d85f23-b751-4d12-935b-25e32ed9445e,OK,0,2
14,Estadística de mediaciones prejudiciales y judiciales,a9767469-d903-4158-aa76-b21dd37e8aff,OK,0,3
15,Internos del Servicio Penitenciario Federal - SPF,6d0e08b3-041c-40c1-9ea6-962db3747677,OK,0,33
16,Listado de mediadores,194a4863-67fe-4344-8bdd-e7b6e7e35886,OK,0,3
17,Listado de Registros Seccionales de la Dirección Nacional de Registros Nacionales de la Propiedad Automotor y Créditos Prendarios,bbdac295-c88e-4e2d-8f74-a845a2e93a61,OK,0,4
18,Magistrados de la Justicia Federal y de la Justicia Nacional,3c18d46e-729e-4973-8efd-f54cab18b7e3,OK,0,5
19,Listado de mediaciones prejudiciales y judiciales. Ley 26.589,5c75711c-c93f-482f-af11-657bd30d3aab,OK,0,3
20,Registro de obsequios a funcionarios públicos,7c268f77-e007-43ba-8a18-d50ef022f8e3,OK,0,1
21,Registro de viajes fincianciados por terceros,5ddf7915-47c7-44d1-9246-30573ec05f95,OK,0,1
22,"Registro, sistematización y seguimiento de femicidios y homicidios agravados por el género",27bb9b2c-521b-406c-bdf9-98110ef73f34,OK,0,1
23,Registro Unificado de Víctimas del Terrorismo de Estado -RUVTE-,d43fa140-f43f-4cc2-8491-b1d8bb899de4,OK,0,2
24,Renuncias de magistrados de la Justicia Federal y de la Justicia Nacional,36c14e01-d3f6-47f3-9f12-9c25a48fe8c6,OK,0,5
25,Selección de magistrados del Poder Judicial y el Ministerio Público de la Nación,a6eb5ab3-5c4c-40cb-b901-839f60a148e4,OK,0,6
26,Sistema Nacional de Estadísticas sobre Ejecución de la Pena – SNEEP,6c03af36-6a1d-4306-b2a8-dd39ad73afb3,OK,0,14
27,Solicitudes de Condición de Legítimo Usuario de Armas de Fuego,0a0c3def-3d81-4850-854c-7af25831250b,OK,0,21
28,Tesauro SAIJ de Derecho Argentino,e41e8224-f868-4688-9fae-94d320f8ee5e,OK,0,1
29,"Registro, sistematización y seguimiento de hechos de violencia institucional",c64b3899-65df-4024-afe8-bdf971f30dd8,OK,0,1
